method,alpha,accuracy,mean_cosine_shift,kl_divergence
none,0.0,0.45454545454545453,0.00028790804472836584,
raw_addition,1.0,0.09090909090909091,-0.018881415778940373,
pca_uncalibrated,1.0,0.5454545454545454,-0.0015754970637234774,
pca_k_calibrated,1.0,0.7272727272727273,0.00875329158522866,
