method,alpha,accuracy,mean_cosine_shift,kl_divergence
none,0.0,0.5555555555555556,0.009163310958279504,
raw_addition,1.0,0.7777777777777778,0.017957950631777447,
pca_uncalibrated,1.0,0.7777777777777778,0.005418833759095933,
pca_k_calibrated,1.0,0.8888888888888888,0.005125989516576131,
