method,alpha,pair_idx,cos_pos,cos_neg,correct
none,0.0,5,0.26280999183654785,0.24473972618579865,1
none,0.0,34,0.3903636336326599,0.3798389732837677,1
none,0.0,6,0.25038474798202515,0.2466462105512619,1
none,0.0,8,0.21404290199279785,0.2187601923942566,0
none,0.0,14,0.2509306073188782,0.2929128110408783,0
none,0.0,15,0.25675398111343384,0.2616509795188904,0
none,0.0,17,0.39697033166885376,0.40898022055625916,0
none,0.0,47,0.4363354444503784,0.43494713306427,1
none,0.0,1,0.2391728311777115,0.22221964597702026,1
none,0.0,7,0.25857335329055786,0.2587014436721802,0
none,0.0,40,0.41976332664489746,0.3883804976940155,1
raw_addition,1.0,5,0.26519063115119934,0.25977733731269836,1
raw_addition,1.0,34,0.36971551179885864,0.3533709645271301,1
raw_addition,1.0,6,0.25942981243133545,0.273627907037735,0
raw_addition,1.0,8,0.3412780463695526,0.3254857063293457,1
raw_addition,1.0,14,0.33334583044052124,0.33802828192710876,0
raw_addition,1.0,15,0.26581257581710815,0.2626473903656006,1
raw_addition,1.0,17,0.33865827322006226,0.3548765778541565,0
raw_addition,1.0,47,0.3132963180541992,0.30837637186050415,1
raw_addition,1.0,1,0.3420352637767792,0.34741276502609253,0
raw_addition,1.0,7,0.25585633516311646,0.2658731937408447,0
raw_addition,1.0,40,0.35038498044013977,0.3657057285308838,0
pca_uncalibrated,1.0,5,0.27547234296798706,0.2570258677005768,1
pca_uncalibrated,1.0,34,0.41101616621017456,0.3859984278678894,1
pca_uncalibrated,1.0,6,0.23368418216705322,0.2266627848148346,1
pca_uncalibrated,1.0,8,0.216258704662323,0.22738265991210938,0
pca_uncalibrated,1.0,14,0.19973786175251007,0.23272159695625305,0
pca_uncalibrated,1.0,15,0.26999491453170776,0.2759377360343933,0
pca_uncalibrated,1.0,17,0.195900097489357,0.20731744170188904,0
pca_uncalibrated,1.0,47,0.3867446780204773,0.3767158091068268,1
pca_uncalibrated,1.0,1,0.28261059522628784,0.23651084303855896,1
pca_uncalibrated,1.0,7,0.241347998380661,0.24067720770835876,1
pca_uncalibrated,1.0,40,0.24832607805728912,0.25303590297698975,0
pca_k_calibrated,1.0,5,0.36425063014030457,0.3358696699142456,1
pca_k_calibrated,1.0,34,0.2982594072818756,0.2851763963699341,1
pca_k_calibrated,1.0,6,0.29914024472236633,0.2952237129211426,1
pca_k_calibrated,1.0,8,0.3408656716346741,0.34782689809799194,0
pca_k_calibrated,1.0,14,0.3969135880470276,0.43846356868743896,0
pca_k_calibrated,1.0,15,0.24339580535888672,0.2460050731897354,0
pca_k_calibrated,1.0,17,0.2769501805305481,0.2988457679748535,0
pca_k_calibrated,1.0,47,0.2092430591583252,0.21327561140060425,0
pca_k_calibrated,1.0,1,0.25579774379730225,0.21471357345581055,1
pca_k_calibrated,1.0,7,0.31176692247390747,0.3224011957645416,0
pca_k_calibrated,1.0,40,0.2854408919811249,0.27845340967178345,1
