model_key,behavioral_pc1_ratio,contrastive_mean_ratio,raw_pc1_ratio,raw_mean_dir_ratio,random_baseline,behavioral_advantage_over_raw_pc1
llama,3.89524574384037,4.115998514415975,2.63385881844524,16.490779228257896,0.029333529318682848,1.2613869253951298
qwen,5.091038030038381,4.739467979103554,4.321775879107821,17.726247896627882,0.03142846394330263,0.7692621509305599
mistral,12.061945515170638,8.50755542219793,4.634794627471662,9.988171769681228,0.029441356880124656,7.427150887698977
gemma,4.983084836483366,3.5326853366205855,5.611037763102517,7.635339141765229,0.03136443357382502,-0.6279529266191508
