method,alpha,pair_idx,cos_pos,cos_neg,correct
none,0.0,5,0.5299758315086365,0.48279792070388794,1
none,0.0,34,0.37957069277763367,0.28873318433761597,1
none,0.0,6,0.4660991430282593,0.3408140540122986,1
none,0.0,8,0.6257154941558838,0.5086427330970764,1
none,0.0,14,0.5749853849411011,0.5111923813819885,1
none,0.0,15,0.5043216347694397,0.3871546685695648,1
none,0.0,17,0.6518692374229431,0.5877336263656616,1
none,0.0,1,0.5946430563926697,0.5101200342178345,1
none,0.0,7,0.43423017859458923,0.49255937337875366,0
none,0.0,40,0.5561785697937012,0.5640254616737366,0
raw_addition,1.0,5,0.3982037603855133,0.40188494324684143,0
raw_addition,1.0,34,0.4822518825531006,0.504020094871521,0
raw_addition,1.0,6,0.4867969751358032,0.4953618049621582,0
raw_addition,1.0,8,0.4426557421684265,0.47773677110671997,0
raw_addition,1.0,14,0.4520411789417267,0.4650280475616455,0
raw_addition,1.0,15,0.5032756328582764,0.5060750842094421,0
raw_addition,1.0,17,0.44920802116394043,0.4364120066165924,1
raw_addition,1.0,1,0.5010461807250977,0.45581626892089844,1
raw_addition,1.0,7,0.4571605324745178,0.4326575696468353,1
raw_addition,1.0,40,0.4565031826496124,0.5096927285194397,0
pca_uncalibrated,1.0,5,0.4592125713825226,0.4580482840538025,1
pca_uncalibrated,1.0,34,0.444262832403183,0.5238269567489624,0
pca_uncalibrated,1.0,6,0.43609505891799927,0.4896172285079956,0
pca_uncalibrated,1.0,8,0.5268855690956116,0.5337619185447693,0
pca_uncalibrated,1.0,14,0.5294172167778015,0.5611717700958252,0
pca_uncalibrated,1.0,15,0.4995060861110687,0.5341109037399292,0
pca_uncalibrated,1.0,17,0.7031527757644653,0.608697235584259,1
pca_uncalibrated,1.0,1,0.5430418252944946,0.5129203200340271,1
pca_uncalibrated,1.0,7,0.49976733326911926,0.45964083075523376,1
pca_uncalibrated,1.0,40,0.4981716573238373,0.5288726091384888,0
pca_k_calibrated,1.0,5,0.48949629068374634,0.49172690510749817,0
pca_k_calibrated,1.0,34,0.49663105607032776,0.5636643171310425,0
pca_k_calibrated,1.0,6,0.45952704548835754,0.4631628394126892,0
pca_k_calibrated,1.0,8,0.4905048906803131,0.4839131236076355,1
pca_k_calibrated,1.0,14,0.4430866241455078,0.45367756485939026,0
pca_k_calibrated,1.0,15,0.5423028469085693,0.5234930515289307,1
pca_k_calibrated,1.0,17,0.4531404972076416,0.43738827109336853,1
pca_k_calibrated,1.0,1,0.5420024991035461,0.5009996294975281,1
pca_k_calibrated,1.0,7,0.48968738317489624,0.48115062713623047,1
pca_k_calibrated,1.0,40,0.505149245262146,0.554420530796051,0
