method,alpha,accuracy,mean_cosine_shift,kl_divergence
none,0.0,0.3333333333333333,-0.022440794441435073,
raw_addition,1.0,0.4444444444444444,-0.007443911499447293,
pca_uncalibrated,1.0,0.4444444444444444,-0.0038860738277435303,
pca_k_calibrated,1.0,0.1111111111111111,-0.013290103938844468,
