method,alpha,accuracy,mean_cosine_shift,kl_divergence
none,0.0,0.5555555555555556,-0.007641064623991649,
raw_addition,1.0,0.8888888888888888,0.08386797913246685,
pca_uncalibrated,1.0,0.7777777777777778,0.03574322329627143,
pca_k_calibrated,1.0,0.5555555555555556,0.002229611078898112,
