model,mean_pc1,mean_pc2,mean_pc3,pc1_pc2_ratio_mean,pc1_pc2_ratio_std,pc1_to_pc5_cumulative
Llama 3.1 8B,0.14284073859453197,0.0918835318414494,0.05629564085975284,1.6041842637433121,0.2425229841102053,0.368819273955887
Gemma 2 9B,0.7551588391973858,0.026363360522580953,0.013538677400598876,35.527152711484916,18.266072206181573,0.8117815724939904
Qwen 2.5 7B,0.1807840269591127,0.10087205192872453,0.06438119877129789,1.856466887107072,0.37868570081425124,0.4304644346968935
Mistral 7B,0.8239854359067976,0.020861340523367695,0.00938599135376417,62.487465639030006,51.35155814048779,0.8658433117299836
