model,n_layers,r_Wup_full,p_Wup_full,r_Wup_partial,p_Wup_partial,rho_Wup_partial,p_Wup_spearman_partial,r_Wdn_full,p_Wdn_full,r_Wdn_partial,p_Wdn_partial
Llama 3.1 8B,32,0.7691330499955302,2.7018043268090727e-07,0.9011575892799835,4.802315772247262e-12,-0.04112967234146797,0.8261184565229849,-0.6112803902682256,0.00020191542423959646,0.0072012155898785735,0.969330947578473
Gemma 2 9B,42,0.42138456903555344,0.005449463369953718,0.6962318279352715,4.312873825411472e-07,0.0632889531486697,0.6942388729652464,-0.7209904649688026,7.229673148652228e-08,0.31307035872422784,0.04625581187428425
Qwen 2.5 7B,28,0.7113294673370628,2.2013914898919666e-05,0.8317311183760554,7.630475948877412e-08,-0.021201088313073574,0.9164053383512158,-0.45457278162235104,0.01508990177330501,-0.040310026350427776,0.8417726126102443
Mistral 7B,32,0.7153431299476994,4.199377386134183e-06,0.780006945841466,2.3031726531180023e-07,,,0.1645675016989433,0.36809121400526684,0.41900137756330763,0.0189684423022171
