layer_idx,layer_name,raw_pc1_alignment,raw_pc1_ratio,raw_mean_dir_alignment,raw_mean_dir_ratio,random_baseline,behavioral_pc1_alignment,behavioral_pc1_ratio,contrastive_mean_alignment,contrastive_mean_ratio
0,model.layers.0,0.07021811604499817,2.420675784697858,0.3527528941631317,12.160684976731227,0.029007649049162865,0.1587919443845749,5.474140239400658,0.12245682626962662,4.221535562587243
1,model.layers.1,0.0387943834066391,1.3313806244256734,0.44401639699935913,15.23815501063169,0.029138460755348206,0.20839107036590576,7.151752625639435,0.23429381847381592,8.040706487562357
2,model.layers.2,0.06916160881519318,2.3928284795429793,0.5234844088554382,18.11132539517856,0.02890370413661003,0.13535375893115997,4.682920694472423,0.26019755005836487,9.002221300991383
3,model.layers.3,0.04385962709784508,1.4628434004030844,0.516549289226532,17.228389038562124,0.029982447624206543,0.1685737818479538,5.6224154324692,0.18403513729572296,6.138095643967548
4,model.layers.4,0.04743505269289017,1.6048563401547726,0.6283696889877319,21.25944891137847,0.02955719456076622,0.13703793287277222,4.636364522169834,0.39924749732017517,13.507624446283069
5,model.layers.5,0.06478893011808395,2.2093679781618856,0.6169779896736145,21.039572827196597,0.029324643313884735,0.05812434107065201,1.982098757908245,0.33015576004981995,11.258644998926608
6,model.layers.6,0.06565164774656296,2.253228980363352,0.6211380362510681,21.318066981192562,0.029136694967746735,0.05664818361401558,1.9442212554478746,0.39008674025535583,13.388159751784062
7,model.layers.7,0.08883114159107208,3.0521377164246895,0.6478706002235413,22.260102244410515,0.0291045643389225,0.07058817148208618,2.4253298635484613,0.3430628478527069,11.787252063645067
8,model.layers.8,0.13950790464878082,4.73673627583894,0.6883624792098999,23.37209159874265,0.029452325776219368,0.07276119291782379,2.470473503525474,0.43497446179389954,14.768763945166807
9,model.layers.9,0.18212974071502686,6.309835436195418,0.676643967628479,23.442146614102,0.0288644190877676,0.0713743269443512,2.4727441856557095,0.39100006222724915,13.546091036589035
10,model.layers.10,0.07078342884778976,2.378909128646609,0.6486873626708984,21.801264982710425,0.029754573479294777,0.11225612461566925,3.7727350022694686,0.368122398853302,12.371959784182637
11,model.layers.11,0.05428863689303398,1.7862620207620943,0.5616916418075562,18.481371140653657,0.03039231337606907,0.060338787734508514,1.9853304683508841,0.35255077481269836,11.59999763263495
12,model.layers.12,0.06550183892250061,2.2077169965395114,0.6906667947769165,23.278687237751434,0.029669489711523056,0.045244500041007996,1.5249503431292775,0.4240705668926239,14.29315288947387
13,model.layers.13,0.07556448876857758,2.514206090745336,0.5726921558380127,19.054798487947377,0.030055008828639984,0.05735110864043236,1.9082046210406296,0.35150474309921265,11.695379409400731
14,model.layers.14,0.060934580862522125,2.112047135827869,0.4153209924697876,14.395397493158303,0.02885095588862896,0.06532257795333862,2.2641390441744496,0.2300039529800415,7.972142964543858
15,model.layers.15,0.0377376452088356,1.3354590969828186,0.6555019617080688,23.196891406678585,0.028258180245757103,0.071675606071949,2.5364550339810323,0.3118630647659302,11.036204420012192
16,model.layers.16,0.05513639748096466,1.880369058592518,0.6372693777084351,21.733404331415603,0.02932211384177208,0.03904672712087631,1.3316477113462026,0.24139560759067535,8.232544238138814
17,model.layers.17,0.053375884890556335,1.837111697634944,0.6495901942253113,22.357844688237,0.02905423939228058,0.05999245494604111,2.0648433459640714,0.1883031576871872,6.481090372516415
18,model.layers.18,0.08253741264343262,2.8103082560618287,0.5867512822151184,19.978236775940612,0.029369521886110306,0.08532895147800446,2.9053570876481274,0.08114944398403168,2.763049447507695
19,model.layers.19,0.03816107288002968,1.2759089167594306,0.6084721088409424,20.34416044093594,0.029908930882811546,0.049586884677410126,1.6579289715761252,0.0645790696144104,2.1591900997147793
20,model.layers.20,0.06800668686628342,2.328364464550169,0.5829224586486816,19.957683587416614,0.029207920655608177,0.11396496742963791,3.9018513118942044,0.06960020959377289,2.3829223597088443
21,model.layers.21,0.14919231832027435,5.164112273891669,0.5749571323394775,19.90144812752309,0.0288902148604393,0.09607910364866257,3.325662366553242,0.07127230614423752,2.4670049711132123
22,model.layers.22,0.16683948040008545,5.693717340771323,0.608796238899231,20.776339593629764,0.029302380979061127,0.16169044375419617,5.517996587094414,0.04744398593902588,1.6191170387761775
23,model.layers.23,0.13154657185077667,4.430694561790861,0.47478073835372925,15.99135884630427,0.029689829796552658,0.12075728923082352,4.0672946255000175,0.07000300288200378,2.3578107723716624
