method,alpha,accuracy,mean_cosine_shift,kl_divergence
none,0.0,0.8181818181818182,0.0640435442328453,
raw_addition,1.0,0.45454545454545453,-0.019185350255363366,
pca_uncalibrated,1.0,0.45454545454545453,-0.006914769891988148,
pca_k_calibrated,1.0,0.5454545454545454,0.037609628909690815,
