layer_idx,layer_name,raw_pc1_alignment,raw_pc1_ratio,raw_mean_dir_alignment,raw_mean_dir_ratio,random_baseline,behavioral_pc1_alignment,behavioral_pc1_ratio,contrastive_mean_alignment,contrastive_mean_ratio
0,model.layers.0,0.07021811604499817,2.3926064480870823,0.3527528941631317,12.019673792091284,0.02934795804321766,0.0591491274535656,2.0154426195860125,0.058935023844242096,2.008147270392966
1,model.layers.1,0.0387943834066391,1.3402695227350319,0.44401639699935913,15.339891815138797,0.028945209458470345,0.044564686715602875,1.5396221347066332,0.036905840039253235,1.2750240697750166
2,model.layers.2,0.06916160881519318,2.261510248788474,0.5234844088554382,17.117377342550803,0.030582044273614883,0.09034352004528046,2.9541359721687965,0.06380665302276611,2.086408951785061
3,model.layers.3,0.04385962709784508,1.477687747178973,0.516549289226532,17.40321580485021,0.0296812541782856,0.07493206113576889,2.5245583680904495,0.0516095869243145,1.73879394972728
4,model.layers.4,0.04743505269289017,1.6669929175489617,0.6283696889877319,22.08256893750634,0.02845546044409275,0.18374352157115936,6.457232188350397,0.10075316578149796,3.540732100916745
5,model.layers.5,0.06478893011808395,2.1788564698044164,0.6169779896736145,20.749015025825425,0.02973528951406479,0.1284046322107315,4.31825719509941,0.10736127942800522,3.610567698244729
6,model.layers.6,0.06565164774656296,2.18228422785504,0.6211380362510681,20.64685025217089,0.0300839114934206,0.17197895050048828,5.716641761210426,0.1366470456123352,4.542196618947756
7,model.layers.7,0.08883114159107208,2.9844372986365344,0.6478706002235413,21.766343979885356,0.02976478636264801,0.31271904706954956,10.506342385700439,0.24251696467399597,8.147780856594723
8,model.layers.8,0.13950790464878082,4.827153256406022,0.6883624792098999,23.81822873385712,0.02890065684914589,0.2700701951980591,9.344776738569657,0.21574953198432922,7.465211799346822
9,model.layers.9,0.18212974071502686,6.455759698633789,0.676643967628479,23.984280872471437,0.02821197547018528,0.18751542270183563,6.6466602543782765,0.1790616661310196,6.3470089137588035
10,model.layers.10,0.07078342884778976,2.406161210490054,0.6486873626708984,22.051013848879794,0.029417574405670166,0.1712191253900528,5.820300382643048,0.14345785975456238,4.876603791314196
11,model.layers.11,0.05428863689303398,1.8631437727807738,0.5616916418075562,19.27682005939331,0.029138188809156418,0.19831068813800812,6.805868498930937,0.15638615190982819,5.367051039686935
12,model.layers.12,0.06550183892250061,2.254156303918223,0.6906667947769165,23.768354216671884,0.029058249667286873,0.16352248191833496,5.627402825815145,0.12925651669502258,4.448186443671115
