method,alpha,accuracy,mean_cosine_shift,kl_divergence
none,0.0,0.6153846153846154,0.0028369174553797795,
raw_addition,1.0,0.5384615384615384,0.006909413979603694,
pca_uncalibrated,1.0,0.5384615384615384,0.003269531405889071,
pca_k_calibrated,1.0,0.6153846153846154,0.007139173837808462,
