method,alpha,accuracy,mean_cosine_shift,kl_divergence
none,0.0,0.5555555555555556,0.012161210179328918,
raw_addition,1.0,0.7777777777777778,0.03663970033327738,
pca_uncalibrated,1.0,1.0,0.043018211921056114,
pca_k_calibrated,1.0,0.7777777777777778,0.057627278897497386,
