layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.07854397594928741,0.03391069918870926,2.31620035894862
1,model.layers.1.mlp.down_proj,0.0707264095544815,0.029034918174147606,2.4359086081925647
2,model.layers.2.mlp.down_proj,0.07038719952106476,0.03195720911026001,2.202545193344854
3,model.layers.3.mlp.down_proj,0.09724340587854385,0.034277502447366714,2.8369454043775857
4,model.layers.4.mlp.down_proj,0.07995758950710297,0.032713666558265686,2.4441646405036073
5,model.layers.5.mlp.down_proj,0.12636953592300415,0.029653232544660568,4.261576928286074
6,model.layers.6.mlp.down_proj,0.07229220122098923,0.03111887536942959,2.3230980567154185
7,model.layers.7.mlp.down_proj,0.10173996537923813,0.03260940685868263,3.1199574619736214
8,model.layers.8.mlp.down_proj,0.13163027167320251,0.03729549050331116,3.5293883085443762
9,model.layers.9.mlp.down_proj,0.11291322857141495,0.0375027060508728,3.010802084720098
10,model.layers.10.mlp.down_proj,0.1264338195323944,0.03166821599006653,3.992451471835415
11,model.layers.11.mlp.down_proj,0.1113743931055069,0.0307173915207386,3.625776277407445
12,model.layers.12.mlp.down_proj,0.09345663338899612,0.03069099225103855,3.0450833775421606
13,model.layers.13.mlp.down_proj,0.09236693382263184,0.03385604918003082,2.728225334363199
14,model.layers.14.mlp.down_proj,0.09095461666584015,0.030882546678185463,2.9451785394664136
15,model.layers.15.mlp.down_proj,0.09810920059680939,0.03238125890493393,3.029814185267711
16,model.layers.16.mlp.down_proj,0.055478714406490326,0.03018658235669136,1.8378600105530838
17,model.layers.17.mlp.down_proj,0.08584187179803848,0.033783406019210815,2.5409477424590365
18,model.layers.18.mlp.down_proj,0.09210103005170822,0.03140338882803917,2.9328372050291813
19,model.layers.19.mlp.down_proj,0.10437735170125961,0.03283064067363739,3.1792662701769054
20,model.layers.20.mlp.down_proj,0.10522892326116562,0.03926892578601837,2.6796994945793164
21,model.layers.21.mlp.down_proj,0.1004914864897728,0.03497587889432907,2.8731653583378844
22,model.layers.22.mlp.down_proj,0.08551566302776337,0.027171652764081955,3.1472380654579815
23,model.layers.23.mlp.down_proj,0.06416146457195282,0.034218721091747284,1.8750397633179583
24,model.layers.24.mlp.down_proj,0.06620504707098007,0.03376705199480057,1.960640363882933
25,model.layers.25.mlp.down_proj,0.0860653966665268,0.03796318173408508,2.2670753732471787
26,model.layers.26.mlp.down_proj,0.06593932956457138,0.031036922708153725,2.1245446289913206
27,model.layers.27.mlp.down_proj,0.06074117496609688,0.035748597234487534,1.6991204680998766
28,model.layers.28.mlp.down_proj,0.04719476029276848,0.02389710582792759,1.974915232734946
29,model.layers.29.mlp.down_proj,0.09347039461135864,0.0345621183514595,2.7044173321915093
30,model.layers.30.mlp.down_proj,0.0943133533000946,0.031789667904376984,2.9667925634516124
31,model.layers.31.mlp.down_proj,0.09215761721134186,0.034051865339279175,2.706389608520139
32,model.layers.32.mlp.down_proj,0.05960150435566902,0.038280390202999115,1.556972185566366
33,model.layers.33.mlp.down_proj,0.05045481398701668,0.0408010371029377,1.2366061338861842
34,model.layers.34.mlp.down_proj,0.06422343850135803,0.03158924728631973,2.033079037501855
35,model.layers.35.mlp.down_proj,0.03669710084795952,0.02507554367184639,1.4634617643684227
36,model.layers.36.mlp.down_proj,0.05656048655509949,0.03103085793554783,1.8227174011708016
37,model.layers.37.mlp.down_proj,0.03458387032151222,0.030146470293402672,1.1471946412872753
38,model.layers.38.mlp.down_proj,0.05165984481573105,0.03640954941511154,1.4188542354065974
39,model.layers.39.mlp.down_proj,0.07208950817584991,0.03078857623040676,2.3414368139315775
40,model.layers.40.mlp.down_proj,0.08211381733417511,0.02793462947010994,2.939498964270779
41,model.layers.41.mlp.down_proj,0.11156574636697769,0.03555363416671753,3.1379561005175813
