layer_idx,layer_name,behavioral_pc1_alignment_mean,behavioral_pc1_ratio_mean,contrastive_mean_alignment_mean,contrastive_mean_ratio_mean,raw_pc1_alignment,raw_pc1_ratio,raw_mean_dir_alignment,raw_mean_dir_ratio,random_baseline
0,model.layers.0,0.1400418370962143,4.437857153114665,0.12051791548728943,3.8229241298512386,0.3085751533508301,9.778501385895998,0.19483552873134613,6.174183070258929,0.03156221397221089
1,model.layers.1,0.06911714971065522,2.221285594464761,0.07041726037859916,2.2686117370038263,0.18424543738365173,5.9208602868788685,0.13008162379264832,4.180266992244927,0.031128357350826263
2,model.layers.2,0.06951223462820053,2.2077828495359975,0.09613085463643074,3.042019941869314,0.14278165996074677,4.528150298299477,0.6649570465087891,21.0883207922705,0.03153893500566483
3,model.layers.3,0.06437287777662277,2.0813633227435657,0.12030861526727676,3.885203701849451,0.15063491463661194,4.862701540738473,0.44563859701156616,14.385824810458526,0.03099253959953785
4,model.layers.4,0.0687729611992836,2.1785832974446446,0.08866721168160438,2.8109938824843237,0.19176781177520752,6.091297780403478,0.4191027581691742,13.312347244121352,0.031499318405985834
5,model.layers.5,0.11479301303625107,3.6187370151894847,0.1257306933403015,3.9720555625279497,0.3168674409389496,10.035416244672893,0.5105307102203369,16.168869125738528,0.03157939352095127
6,model.layers.6,0.17559630572795867,5.594409018318957,0.10733240246772766,3.4215762660791134,0.2176549732685089,6.940026801400743,0.2530174255371094,8.067574510611985,0.03136956207454204
7,model.layers.7,0.1799858182668686,5.739275223544746,0.13414211571216583,4.283399806865777,0.2832907736301422,9.03288221277283,0.23418842256069183,7.4672267277846895,0.03137060701847076
8,model.layers.8,0.3438290894031525,10.993188715702297,0.19728489518165587,6.307647405267405,0.3012418746948242,9.625795084126826,0.3956637978553772,12.642925702880968,0.03129719458520412
9,model.layers.9,0.14992907643318176,4.836194445506597,0.1309397354722023,4.226890322653382,0.1669166386127472,5.383239364539646,0.2571057677268982,8.291934831546067,0.03101668171584606
10,model.layers.10,0.40260941386222837,12.767339018456331,0.22670108079910278,7.190757180212151,0.30815863609313965,9.760942431704303,0.2899654507637024,9.18467224534389,0.031579432636499406
11,model.layers.11,0.12065950036048889,3.8696789255452044,0.12371169179677963,3.9753257251030734,0.26424670219421387,8.504685214582576,0.31594353914260864,10.168529346542858,0.03107747547328472
12,model.layers.12,0.1367899477481842,4.344832015963375,0.11477964296936989,3.650220892786127,0.19242432713508606,6.113091415607365,0.24460284411907196,7.7707406796216905,0.031480421870946886
13,model.layers.13,0.1421043172478676,4.565081446132526,0.12728548645973206,4.084155413334721,0.17072653770446777,5.487564563963397,0.2240648865699768,7.2019883264914695,0.03111717477440834
14,model.layers.14,0.14997820258140565,4.832583886504339,0.13822803348302842,4.473639443252743,0.2078014314174652,6.7000643515896,0.21692600846290588,6.994264699337309,0.031020942330360412
15,model.layers.15,0.11319015622138977,3.581571727951611,0.09684679955244065,3.067222827497029,0.17997413873672485,5.690116128325957,0.13758406043052673,4.349898750739591,0.0316358245909214
16,model.layers.16,0.05877331271767616,1.9031274093998527,0.09483871757984161,3.0819377016981178,0.059821631759405136,1.9357712070129107,0.043551404029130936,1.4092820851768766,0.030911384522914885
17,model.layers.17,0.15921541750431062,5.06374761631325,0.11066711694002151,3.529364817188312,0.17613747715950012,5.611574490801528,0.1920141875743866,6.11739156391279,0.03140774928033352
18,model.layers.18,0.17732426524162292,5.683697087651929,0.1082534909248352,3.465773433804208,0.1805875599384308,5.788971547751023,0.17978045344352722,5.763098688421207,0.031199955195188523
19,model.layers.19,0.23760756850242615,7.5436512499080735,0.14301602095365523,4.538198929119434,0.25544777512550354,8.107784725552175,0.24806158244609833,7.873350661068173,0.03151451051235199
20,model.layers.20,0.30006474256515503,9.668869620741024,0.1678438037633896,5.418384853366396,0.24554187059402466,7.908938325635776,0.2971162497997284,9.570156362844903,0.03105182610452175
21,model.layers.21,0.22509499192237853,7.168891457697093,0.1383731856942177,4.365935701116404,0.2424536645412445,7.7238171862008995,0.22857584059238434,7.2817130203344265,0.03141524009406567
22,model.layers.22,0.15964919626712798,5.085507462125677,0.10799070000648499,3.4297627966413002,0.13597805798053741,4.3314126259609935,0.17194905877113342,5.477224305483148,0.031398603320121767
23,model.layers.23,0.10943571776151657,3.4941112641772607,0.07746871560811996,2.474278364759172,0.12999993562698364,4.1555442571160395,0.1064169704914093,3.4016973043290704,0.031301737576723096
24,model.layers.24,0.15131444334983826,4.833695733410695,0.09183157533407212,2.9173974268572076,0.11255136877298355,3.5955012268499273,0.1455785483121872,4.6505684894446375,0.03132032454013824
25,model.layers.25,0.1417483150959015,4.534459685548714,0.10072527080774307,3.218114125226626,0.1269603818655014,4.060883386482397,0.1274651736021042,4.077029371132754,0.03126835450530052
26,model.layers.26,0.05859031304717064,1.8392499009789791,0.05602608770132065,1.7577429784472844,0.08419996500015259,2.646096958446541,0.11271920800209045,3.542352463594183,0.03183191157877445
27,model.layers.27,0.1114836260676384,3.5859343003851194,0.07714283391833306,2.468615686509648,0.10875577479600906,3.4871512199531565,0.13867394626140594,4.446449136040965,0.031204110011458397
28,model.layers.28,0.07183371037244797,2.3196181916119367,0.05091315731406212,1.6427971072589256,0.06850958615541458,2.212583697229065,0.11425480991601944,3.6899701769722433,0.030969110876321794
29,model.layers.29,0.21379603147506715,6.8215594332807665,0.12976242005825042,4.137464102381028,0.20721155405044556,6.613625215841172,0.2509362995624542,8.009199322698446,0.0313334409147501
30,model.layers.30,0.23659400939941405,7.468734957594442,0.1282097004354,4.038090617714728,0.21433790028095245,6.7630822070816405,0.2587340772151947,8.163931025199435,0.03169397115707397
31,model.layers.31,0.2735412627458572,8.597595205312732,0.1444308340549469,4.547066634121476,0.2785569727420807,8.758810789629342,0.3002360761165619,9.440478035926246,0.031827264651656154
32,model.layers.32,0.13439562022686005,4.291747579880189,0.07677652537822724,2.4499641907226923,0.1621510088443756,5.179653921139503,0.2798699140548706,8.939995551520544,0.03131188303232193
33,model.layers.33,0.12178119570016861,3.8893108087818127,0.07336230799555779,2.3578147401786618,0.12231771647930145,3.9055930460197317,0.19848746061325073,6.337685727025557,0.03132568560540676
34,model.layers.34,0.1428485631942749,4.5401540354174825,0.0838613249361515,2.6632574139384113,0.1808691918849945,5.746567910344023,0.2841731607913971,9.028737010243455,0.031479635089635846
35,model.layers.35,0.0377616360783577,1.1992727452760374,0.030316628329455853,0.9381803118619075,0.08149884641170502,2.5406134161170812,0.21659322082996368,6.751993027002935,0.0321128286421299
36,model.layers.36,0.04718485772609711,1.4974216877550364,0.029736924171447753,0.9472961730302731,0.1442021131515503,4.581651253363365,0.2572288513183594,8.172785150557342,0.031481751799583436
37,model.layers.37,0.12447627484798432,3.9412424737287424,0.054751791432499884,1.7347011552683866,0.07455591857433319,2.3559819503426493,0.16708995401859283,5.280075992342621,0.03166446462273598
38,model.layers.38,0.1610072746872902,5.171592077017893,0.0941157378256321,3.0075061034283976,0.09412915259599686,3.020089276075465,0.23414023220539093,7.512278448062785,0.031175120919942855
39,model.layers.39,0.4698460251092911,14.9253040214263,0.24640482366085054,7.881697294665658,0.1353694647550583,4.309282890675428,0.2592429220676422,8.252607710433086,0.031425800547003745
40,model.layers.40,0.14615597277879716,4.667491430179022,0.09930232465267182,3.163493173174591,0.10518364608287811,3.363332970492743,0.22973716259002686,7.346033364137843,0.03128139115869999
41,model.layers.41,0.052252300828695294,1.6838120405822044,0.11589410901069641,3.7153040669477106,0.07792604714632034,2.5039352426887076,0.08398404717445374,2.6985921042406624,0.031132078915834426
