layer_idx,layer_name,mean_norm,k_value,spectral_norm_down_proj,k_spectral_ratio_down_proj,spectral_norm_up_proj,k_spectral_ratio_up_proj,spectral_norm_o_proj,k_spectral_ratio_o_proj
0,model.layers.0,11.322012901306152,0.18912095180947333,6.527383327484131,0.028973471040556583,7.836136817932129,0.024134462708294096,5.992457389831543,0.03155983255390153
1,model.layers.1,20.625438690185547,0.34452377245797233,13.527544975280762,0.02546831469328172,8.822050094604492,0.03905257494158652,3.7169954776763916,0.09268877902249824
2,model.layers.2,21.858591079711918,0.36512213740122806,7.968331813812256,0.04582165325599615,6.535582542419434,0.05586680835738661,3.972447156906128,0.09191365497876054
3,model.layers.3,20.801069259643555,0.34745747521491815,17.027158737182617,0.020406074823051183,7.259780406951904,0.04786060400424726,3.7574117183685303,0.09247255857438597
4,model.layers.4,28.00021171569824,0.46771070980927043,8.40511417388916,0.0556459674589827,5.47861385345459,0.08537026377837365,3.737436294555664,0.12514212228596008
5,model.layers.5,30.132648468017575,0.5033305657295556,8.422494888305664,0.05976026965933957,6.2292633056640625,0.08080097774513621,4.0128173828125,0.1254307180499656
6,model.layers.6,34.30197525024414,0.5729742815893434,7.351192951202393,0.07794303392561955,4.117584705352783,0.13915300414937123,5.067507266998291,0.11306827033496124
7,model.layers.7,39.9382209777832,0.6671211586434487,7.649105072021484,0.0872155830469124,5.156127452850342,0.12938414822827152,3.586359977722168,0.18601622893058337
8,model.layers.8,48.54674911499024,0.8109165287051988,8.07896900177002,0.100373764093851,4.771795749664307,0.16993948845405765,3.476602077484131,0.23324973943869487
9,model.layers.9,48.83290481567383,0.8156964242017624,7.968570709228516,0.10236420732981545,5.025511264801025,0.16231113238466857,6.3864312171936035,0.12772335541730062
10,model.layers.10,54.30465698242188,0.9070956291718926,9.042354583740234,0.10031630818846811,5.207359313964844,0.17419493729562457,4.1675615310668945,0.21765620553169765
11,model.layers.11,59.49272537231445,0.9937562292349725,9.874544143676758,0.1006381879280303,5.395259380340576,0.18419063091870136,4.352445602416992,0.22832134390907072
12,model.layers.12,59.97985458374024,1.0018931516110647,10.97227668762207,0.09131132764281363,5.245419502258301,0.19100343665167704,4.645864009857178,0.21565270732964584
13,model.layers.13,68.20433807373047,1.1392735060875034,10.551017761230469,0.10797759342930349,5.287465572357178,0.21546684143791214,5.35701847076416,0.21266932572756092
14,model.layers.14,67.34754943847656,1.124961856417853,9.680712699890137,0.11620651198858735,5.110151767730713,0.22014255301020533,4.863614559173584,0.2313016055715164
15,model.layers.15,76.9521255493164,1.285395040131944,10.250740051269531,0.12539534060009166,5.104532241821289,0.25181446197963814,4.436380863189697,0.2897395601891048
16,model.layers.16,71.80184936523438,1.199365714560085,10.57249641418457,0.11344205451334635,5.143467903137207,0.23318230756889602,5.305731773376465,0.22605095127091807
17,model.layers.17,75.83551788330078,1.2667434181601773,8.604622840881348,0.14721661153371696,5.228740215301514,0.24226551062015825,4.791266441345215,0.26438592669968936
18,model.layers.18,87.52674102783203,1.4620315942278461,7.494151592254639,0.19508967442543945,5.594935894012451,0.26131337729757953,5.208812713623047,0.2806842316299973
19,model.layers.19,101.73593139648438,1.6993794607588515,6.9487690925598145,0.24455834380486335,5.572422504425049,0.30496242153379033,4.94506311416626,0.3436517232491112
20,model.layers.20,120.11628723144533,2.0064017562115977,6.544809818267822,0.3065637981735305,5.906938076019287,0.3396686625778412,4.865688323974609,0.41235722936167
21,model.layers.21,146.1277313232422,2.440892434455924,5.3031415939331055,0.46027291393621306,5.648520469665527,0.43212951914830533,5.267426490783691,0.4633937348203537
22,model.layers.22,182.92160034179688,3.0554908799972993,5.1191816329956055,0.5968709647462361,6.529978275299072,0.4679174648337338,4.348541736602783,0.7026472470710019
23,model.layers.23,223.20166015625,3.728322055642142,5.286411762237549,0.7052651634658282,6.612888813018799,0.5637962713515146,5.386490345001221,0.6921616519933254
24,model.layers.24,275.7525329589844,4.606122776194681,5.421982765197754,0.8495273732259242,6.6761369705200195,0.6899383275888511,6.236851215362549,0.7385333747979952
25,model.layers.25,333.80694580078125,5.575853680856883,6.699545860290527,0.8322733804847908,7.779125213623047,0.7167712985378194,5.375985622406006,1.0371779376823234
26,model.layers.26,409.7917175292969,6.845090209519081,5.923697471618652,1.155543516919114,10.309623718261719,0.6639515075020813,6.2816009521484375,1.0897047204467707
27,model.layers.27,447.3507385253906,7.472469621796009,7.978112697601318,0.9366212166998675,16.815195083618164,0.4443879232228414,10.338452339172363,0.7227841631075519
