method,alpha,accuracy,mean_cosine_shift,kl_divergence
none,0.0,0.6923076923076923,0.010064156009600712,
raw_addition,1.0,0.6153846153846154,0.013182816597131582,
pca_uncalibrated,1.0,0.6153846153846154,0.012966499878810002,
pca_k_calibrated,1.0,0.6153846153846154,0.010929059523802537,
