2026-04-19 04:34:49,073 | INFO     | __main__ | Log file: results/logs/02_contrastive_extraction_gemma_refusal_calibration_20260419_043449.log
2026-04-19 04:34:51,907 | INFO     | __main__ | Contrastive extraction: models=['gemma']  behaviors=['refusal_calibration']  n_components=5  device=cuda  seed=42
2026-04-19 04:34:51,908 | INFO     | __main__ | ========================================================================
2026-04-19 04:34:51,908 | INFO     | __main__ | MODEL: gemma
2026-04-19 04:34:51,908 | INFO     | __main__ | ========================================================================
2026-04-19 04:34:51,908 | INFO     | __main__ | Loading tokenizer: google/gemma-2-9b-it
2026-04-19 04:34:52,776 | INFO     | __main__ | Loading model: google/gemma-2-9b-it  →  cuda
2026-04-19 04:34:58,780 | INFO     | __main__ | Model loaded. Params: 9.2B  GPU mem: 17.21 GiB
2026-04-19 04:34:58,781 | INFO     | activation_baking.model_utils | Detected model info: arch=gemma2, layers=42, hidden=3584, instruct=True
2026-04-19 04:34:58,781 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:34:58,781 | INFO     | __main__ | Model=gemma  Behavior=refusal_calibration
2026-04-19 04:34:58,781 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:34:58,781 | INFO     | __main__ | Loaded 45 contrastive pairs for behavior 'refusal_calibration'.
2026-04-19 04:34:58,782 | INFO     | __main__ | Split: 36 train / 9 test  (seed=42).
2026-04-19 04:34:58,790 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:34:58,790 | INFO     | __main__ | Extracting contrastive diffs for 36 train pairs…
2026-04-19 04:34:58,790 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 42 layers.
2026-04-19 04:35:01,338 | INFO     | PCADirector | PCADirector.fit complete: 42 layers.
2026-04-19 04:35:01,339 | INFO     | __main__ | Explained variance ratios (top-5 components per layer):
2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.0                  PC0=0.5515  PC1=0.0678  PC2=0.0286  PC3=0.0237  PC4=0.0226
2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.1                  PC0=0.6765  PC1=0.0416  PC2=0.0200  PC3=0.0184  PC4=0.0169
2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.2                  PC0=0.7559  PC1=0.0302  PC2=0.0153  PC3=0.0135  PC4=0.0131
2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.3                  PC0=0.7811  PC1=0.0260  PC2=0.0140  PC3=0.0118  PC4=0.0113
