2026-04-19 04:34:26,695 | INFO     | __main__ |   model.layers.28                 PC0=0.0987  PC1=0.0603  PC2=0.0594  PC3=0.0555  PC4=0.0449
2026-04-19 04:34:26,695 | INFO     | __main__ |   model.layers.29                 PC0=0.0984  PC1=0.0641  PC2=0.0566  PC3=0.0559  PC4=0.0460
2026-04-19 04:34:26,695 | INFO     | __main__ |   model.layers.30                 PC0=0.0927  PC1=0.0606  PC2=0.0580  PC3=0.0536  PC4=0.0448
2026-04-19 04:34:26,695 | INFO     | __main__ |   model.layers.31                 PC0=0.0954  PC1=0.0657  PC2=0.0570  PC3=0.0517  PC4=0.0443
2026-04-19 04:34:26,695 | INFO     | __main__ |   model.layers.32                 PC0=0.0882  PC1=0.0641  PC2=0.0562  PC3=0.0515  PC4=0.0450
2026-04-19 04:34:26,695 | INFO     | __main__ |   model.layers.33                 PC0=0.0935  PC1=0.0626  PC2=0.0548  PC3=0.0508  PC4=0.0445
2026-04-19 04:34:26,695 | INFO     | __main__ |   model.layers.34                 PC0=0.0927  PC1=0.0645  PC2=0.0559  PC3=0.0512  PC4=0.0441
2026-04-19 04:34:26,695 | INFO     | __main__ |   model.layers.35                 PC0=0.0832  PC1=0.0606  PC2=0.0569  PC3=0.0513  PC4=0.0445
2026-04-19 04:34:26,695 | INFO     | __main__ |   model.layers.36                 PC0=0.0872  PC1=0.0633  PC2=0.0564  PC3=0.0505  PC4=0.0444
2026-04-19 04:34:26,695 | INFO     | __main__ |   model.layers.37                 PC0=0.0771  PC1=0.0623  PC2=0.0559  PC3=0.0515  PC4=0.0459
2026-04-19 04:34:26,695 | INFO     | __main__ |   model.layers.38                 PC0=0.0757  PC1=0.0616  PC2=0.0537  PC3=0.0526  PC4=0.0456
2026-04-19 04:34:26,695 | INFO     | __main__ |   model.layers.39                 PC0=0.0774  PC1=0.0651  PC2=0.0541  PC3=0.0531  PC4=0.0468
2026-04-19 04:34:26,695 | INFO     | __main__ |   model.layers.40                 PC0=0.0879  PC1=0.0787  PC2=0.0576  PC3=0.0524  PC4=0.0464
2026-04-19 04:34:26,695 | INFO     | __main__ |   model.layers.41                 PC0=0.1411  PC1=0.0754  PC2=0.0600  PC3=0.0466  PC4=0.0413
2026-04-19 04:34:26,704 | INFO     | __main__ | Directions saved → results/pca_directions/gemma/sycophancy_suppression/directions.pt
2026-04-19 04:34:26,730 | INFO     | __main__ | Raw contrastive diffs saved → results/pca_directions/gemma/sycophancy_suppression/raw_diffs.pt
2026-04-19 04:34:26,734 | INFO     | __main__ | Variance explained CSV saved → results/pca_directions/gemma/sycophancy_suppression/variance_explained.csv
2026-04-19 04:34:26,734 | INFO     | __main__ | Split indices saved → results/pca_directions/gemma/sycophancy_suppression/split_indices.json
2026-04-19 04:34:26,917 | INFO     | __main__ | Finished model 'gemma' in 9.3s  GPU mem=17.22 GiB
2026-04-19 04:34:27,208 | INFO     | __main__ | All contrastive extraction complete. Processed 1 model(s) × 1 behavior(s).
