2026-04-19 04:35:33,840 | INFO     | __main__ |   model.layers.28                 PC0=0.9179  PC1=0.0153  PC2=0.0106  PC3=0.0081  PC4=0.0061
2026-04-19 04:35:33,840 | INFO     | __main__ |   model.layers.29                 PC0=0.9136  PC1=0.0156  PC2=0.0117  PC3=0.0083  PC4=0.0063
2026-04-19 04:35:33,840 | INFO     | __main__ |   model.layers.30                 PC0=0.9059  PC1=0.0159  PC2=0.0127  PC3=0.0085  PC4=0.0068
2026-04-19 04:35:33,840 | INFO     | __main__ |   model.layers.31                 PC0=0.8996  PC1=0.0159  PC2=0.0131  PC3=0.0088  PC4=0.0070
2026-04-19 04:35:33,840 | INFO     | __main__ |   model.layers.32                 PC0=0.8946  PC1=0.0156  PC2=0.0137  PC3=0.0091  PC4=0.0073
2026-04-19 04:35:33,840 | INFO     | __main__ |   model.layers.33                 PC0=0.8875  PC1=0.0159  PC2=0.0147  PC3=0.0096  PC4=0.0078
2026-04-19 04:35:33,840 | INFO     | __main__ |   model.layers.34                 PC0=0.8802  PC1=0.0161  PC2=0.0157  PC3=0.0099  PC4=0.0082
2026-04-19 04:35:33,840 | INFO     | __main__ |   model.layers.35                 PC0=0.8730  PC1=0.0163  PC2=0.0156  PC3=0.0103  PC4=0.0085
2026-04-19 04:35:33,840 | INFO     | __main__ |   model.layers.36                 PC0=0.8634  PC1=0.0173  PC2=0.0170  PC3=0.0106  PC4=0.0090
2026-04-19 04:35:33,840 | INFO     | __main__ |   model.layers.37                 PC0=0.8594  PC1=0.0178  PC2=0.0167  PC3=0.0109  PC4=0.0090
2026-04-19 04:35:33,840 | INFO     | __main__ |   model.layers.38                 PC0=0.8508  PC1=0.0185  PC2=0.0169  PC3=0.0117  PC4=0.0098
2026-04-19 04:35:33,840 | INFO     | __main__ |   model.layers.39                 PC0=0.8412  PC1=0.0215  PC2=0.0185  PC3=0.0119  PC4=0.0106
2026-04-19 04:35:33,840 | INFO     | __main__ |   model.layers.40                 PC0=0.8224  PC1=0.0280  PC2=0.0211  PC3=0.0129  PC4=0.0116
2026-04-19 04:35:33,841 | INFO     | __main__ |   model.layers.41                 PC0=0.7830  PC1=0.0531  PC2=0.0244  PC3=0.0141  PC4=0.0127
2026-04-19 04:35:33,850 | INFO     | __main__ | Directions saved → results/pca_directions/gemma/verbosity_control/directions.pt
2026-04-19 04:35:33,876 | INFO     | __main__ | Raw contrastive diffs saved → results/pca_directions/gemma/verbosity_control/raw_diffs.pt
2026-04-19 04:35:33,879 | INFO     | __main__ | Variance explained CSV saved → results/pca_directions/gemma/verbosity_control/variance_explained.csv
2026-04-19 04:35:33,879 | INFO     | __main__ | Split indices saved → results/pca_directions/gemma/verbosity_control/split_indices.json
2026-04-19 04:35:34,067 | INFO     | __main__ | Finished model 'gemma' in 9.1s  GPU mem=17.22 GiB
2026-04-19 04:35:34,360 | INFO     | __main__ | All contrastive extraction complete. Processed 1 model(s) × 1 behavior(s).
