2026-04-19 04:36:06,193 | INFO     | __main__ |   model.layers.28                 PC0=0.0957  PC1=0.0735  PC2=0.0539  PC3=0.0483  PC4=0.0404
2026-04-19 04:36:06,193 | INFO     | __main__ |   model.layers.29                 PC0=0.0944  PC1=0.0716  PC2=0.0547  PC3=0.0488  PC4=0.0407
2026-04-19 04:36:06,193 | INFO     | __main__ |   model.layers.30                 PC0=0.0919  PC1=0.0670  PC2=0.0549  PC3=0.0494  PC4=0.0404
2026-04-19 04:36:06,193 | INFO     | __main__ |   model.layers.31                 PC0=0.0845  PC1=0.0735  PC2=0.0542  PC3=0.0490  PC4=0.0395
2026-04-19 04:36:06,193 | INFO     | __main__ |   model.layers.32                 PC0=0.0835  PC1=0.0690  PC2=0.0539  PC3=0.0495  PC4=0.0393
2026-04-19 04:36:06,193 | INFO     | __main__ |   model.layers.33                 PC0=0.0873  PC1=0.0715  PC2=0.0522  PC3=0.0476  PC4=0.0392
2026-04-19 04:36:06,193 | INFO     | __main__ |   model.layers.34                 PC0=0.0952  PC1=0.0710  PC2=0.0523  PC3=0.0470  PC4=0.0387
2026-04-19 04:36:06,193 | INFO     | __main__ |   model.layers.35                 PC0=0.0855  PC1=0.0662  PC2=0.0529  PC3=0.0460  PC4=0.0392
2026-04-19 04:36:06,193 | INFO     | __main__ |   model.layers.36                 PC0=0.0878  PC1=0.0689  PC2=0.0526  PC3=0.0445  PC4=0.0384
2026-04-19 04:36:06,193 | INFO     | __main__ |   model.layers.37                 PC0=0.0875  PC1=0.0555  PC2=0.0520  PC3=0.0448  PC4=0.0395
2026-04-19 04:36:06,194 | INFO     | __main__ |   model.layers.38                 PC0=0.0870  PC1=0.0568  PC2=0.0480  PC3=0.0446  PC4=0.0409
2026-04-19 04:36:06,194 | INFO     | __main__ |   model.layers.39                 PC0=0.0934  PC1=0.0561  PC2=0.0469  PC3=0.0450  PC4=0.0423
2026-04-19 04:36:06,194 | INFO     | __main__ |   model.layers.40                 PC0=0.1106  PC1=0.0609  PC2=0.0454  PC3=0.0451  PC4=0.0409
2026-04-19 04:36:06,194 | INFO     | __main__ |   model.layers.41                 PC0=0.1560  PC1=0.0729  PC2=0.0421  PC3=0.0405  PC4=0.0378
2026-04-19 04:36:06,203 | INFO     | __main__ | Directions saved → results/pca_directions/gemma/formality/directions.pt
2026-04-19 04:36:06,229 | INFO     | __main__ | Raw contrastive diffs saved → results/pca_directions/gemma/formality/raw_diffs.pt
2026-04-19 04:36:06,232 | INFO     | __main__ | Variance explained CSV saved → results/pca_directions/gemma/formality/variance_explained.csv
2026-04-19 04:36:06,233 | INFO     | __main__ | Split indices saved → results/pca_directions/gemma/formality/split_indices.json
2026-04-19 04:36:06,425 | INFO     | __main__ | Finished model 'gemma' in 9.3s  GPU mem=17.22 GiB
2026-04-19 04:36:06,726 | INFO     | __main__ | All contrastive extraction complete. Processed 1 model(s) × 1 behavior(s).
