2026-04-19 04:27:15,205 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:27:16,910 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:27:16,914 | INFO     | __main__ |   Permutation seed=42004: mean_cosine_sim=0.0485  n_layers_permuted=16
2026-04-19 04:27:17,137 | INFO     | __main__ | Permutation invariance for llama/sycophancy_suppression: mean cosine sim = 0.0585 ± 0.1100  (min=0.0218, max=1.0000, n_perm=5)  claim_supported=False
2026-04-19 04:27:17,139 | INFO     | __main__ | Invariance scores CSV saved → results/permutation_invariance/llama/sycophancy_suppression/invariance_scores.csv
2026-04-19 04:27:17,141 | INFO     | __main__ | .pt checkpoint saved → results/permutation_invariance/llama/sycophancy_suppression/invariance_scores.pt
2026-04-19 04:27:17,141 | INFO     | __main__ | Summary JSON saved → results/permutation_invariance/llama/sycophancy_suppression/summary.json
2026-04-19 04:27:17,141 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:27:17,141 | INFO     | __main__ | Model=llama  Behavior=refusal_calibration
2026-04-19 04:27:17,141 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:27:17,142 | WARNING  | __main__ | directions.pt not found at results/pca_directions/llama/refusal_calibration/directions.pt.  Running 02_contrastive_extraction.py…
2026-04-19 04:27:17,142 | INFO     | __main__ | Subprocess: /usr/bin/python experiments/02_contrastive_extraction.py --model llama --behavior refusal_calibration --n-components 5 --device cuda --output-dir results/pca_directions --seed 42
2026-04-19 04:27:32,625 | INFO     | __main__ | Using saved train split (36 pairs) from results/pca_directions/llama/refusal_calibration/split_indices.json.
2026-04-19 04:27:32,625 | INFO     | __main__ | Using 36 training pairs for permutation invariance test.
2026-04-19 04:27:32,626 | INFO     | __main__ | Permutation seed=42000: permuting 16/32 layers: [1, 3, 5, 6, 8, 9, 11, 14, 16, 18, 25, 27, 28, 29, 30, 31]
2026-04-19 04:27:32,627 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42000, layers=[1, 3, 5, 6, 8, 9, 11, 14, 16, 18, 25, 27, 28, 29, 30, 31]).
2026-04-19 04:27:32,952 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:27:32,963 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:27:32,963 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:27:34,813 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:27:34,817 | INFO     | __main__ |   Permutation seed=42000: mean_cosine_sim=0.0774  n_layers_permuted=16
2026-04-19 04:27:35,039 | INFO     | __main__ | Permutation seed=42001: permuting 16/32 layers: [0, 1, 4, 5, 6, 9, 11, 14, 15, 19, 21, 22, 24, 26, 27, 29]
2026-04-19 04:27:35,039 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42001, layers=[0, 1, 4, 5, 6, 9, 11, 14, 15, 19, 21, 22, 24, 26, 27, 29]).
2026-04-19 04:27:35,514 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:27:35,524 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:27:35,524 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:27:37,241 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:27:37,245 | INFO     | __main__ |   Permutation seed=42001: mean_cosine_sim=0.0443  n_layers_permuted=16
2026-04-19 04:27:37,465 | INFO     | __main__ | Permutation seed=42002: permuting 16/32 layers: [1, 4, 6, 8, 9, 10, 13, 15, 21, 22, 23, 27, 28, 29, 30, 31]
2026-04-19 04:27:37,465 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42002, layers=[1, 4, 6, 8, 9, 10, 13, 15, 21, 22, 23, 27, 28, 29, 30, 31]).
2026-04-19 04:27:37,939 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:27:37,949 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:27:37,949 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:27:39,625 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:27:39,630 | INFO     | __main__ |   Permutation seed=42002: mean_cosine_sim=0.0780  n_layers_permuted=16
2026-04-19 04:27:39,851 | INFO     | __main__ | Permutation seed=42003: permuting 16/32 layers: [0, 3, 4, 9, 11, 12, 16, 17, 19, 21, 22, 24, 25, 27, 28, 31]
2026-04-19 04:27:39,851 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42003, layers=[0, 3, 4, 9, 11, 12, 16, 17, 19, 21, 22, 24, 25, 27, 28, 31]).
2026-04-19 04:27:40,331 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:27:40,341 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:27:40,341 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:27:42,042 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:27:42,046 | INFO     | __main__ |   Permutation seed=42003: mean_cosine_sim=0.0476  n_layers_permuted=16
2026-04-19 04:27:42,266 | INFO     | __main__ | Permutation seed=42004: permuting 16/32 layers: [0, 2, 5, 8, 9, 12, 16, 17, 18, 19, 20, 24, 25, 26, 28, 29]
2026-04-19 04:27:42,266 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42004, layers=[0, 2, 5, 8, 9, 12, 16, 17, 18, 19, 20, 24, 25, 26, 28, 29]).
2026-04-19 04:27:42,740 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:27:42,750 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:27:42,750 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:27:46,733 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:27:46,737 | INFO     | __main__ |   Permutation seed=42004: mean_cosine_sim=0.0510  n_layers_permuted=16
2026-04-19 04:27:46,955 | INFO     | __main__ | Permutation invariance for llama/refusal_calibration: mean cosine sim = 0.0597 ± 0.1095  (min=0.0262, max=1.0000, n_perm=5)  claim_supported=False
2026-04-19 04:27:46,957 | INFO     | __main__ | Invariance scores CSV saved → results/permutation_invariance/llama/refusal_calibration/invariance_scores.csv
2026-04-19 04:27:46,958 | INFO     | __main__ | .pt checkpoint saved → results/permutation_invariance/llama/refusal_calibration/invariance_scores.pt
2026-04-19 04:27:46,959 | INFO     | __main__ | Summary JSON saved → results/permutation_invariance/llama/refusal_calibration/summary.json
2026-04-19 04:27:46,959 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:27:46,959 | INFO     | __main__ | Model=llama  Behavior=verbosity_control
2026-04-19 04:27:46,959 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:27:46,960 | WARNING  | __main__ | directions.pt not found at results/pca_directions/llama/verbosity_control/directions.pt.  Running 02_contrastive_extraction.py…
2026-04-19 04:27:46,960 | INFO     | __main__ | Subprocess: /usr/bin/python experiments/02_contrastive_extraction.py --model llama --behavior verbosity_control --n-components 5 --device cuda --output-dir results/pca_directions --seed 42
2026-04-19 04:28:02,531 | INFO     | __main__ | Using saved train split (36 pairs) from results/pca_directions/llama/verbosity_control/split_indices.json.
