method,alpha,accuracy,mean_cosine_shift,kl_divergence
none,0.0,0.8888888888888888,0.06372530634204547,
raw_addition,1.0,0.6666666666666666,0.014329656958580017,
pca_uncalibrated,1.0,0.7777777777777778,0.04623480368819502,
pca_k_calibrated,1.0,1.0,0.07913055602047178,
