method,alpha,accuracy,mean_cosine_shift,kl_divergence
none,0.0,1.0,0.04621315188705921,
raw_addition,1.0,0.9166666666666666,0.05209669843316078,
pca_uncalibrated,1.0,0.9166666666666666,0.04516605536142985,
pca_k_calibrated,1.0,0.9166666666666666,0.04583240176240603,
