method,alpha,accuracy,mean_cosine_shift,kl_divergence
none,0.0,0.3076923076923077,-0.009460343764378475,
raw_addition,1.0,0.38461538461538464,0.008610725402832031,
pca_uncalibrated,1.0,0.46153846153846156,0.004057595363030067,
pca_k_calibrated,1.0,0.3076923076923077,0.0015335312256446253,
