layer_idx,layer_name,raw_pc1_alignment,raw_pc1_ratio,raw_mean_dir_alignment,raw_mean_dir_ratio,random_baseline,behavioral_pc1_alignment,behavioral_pc1_ratio,contrastive_mean_alignment,contrastive_mean_ratio
0,model.layers.0,0.07021811604499817,2.472651052472455,0.3527528941631317,12.42179175607922,0.028397906571626663,0.07030797004699707,2.4758151589043202,0.06668315827846527,2.348171537296316
1,model.layers.1,0.0387943834066391,1.2999844833861394,0.44401639699935913,14.87881429685012,0.029842188581824303,0.08850444108247757,2.9657489052472923,0.048463378101587296,1.6239886811490676
2,model.layers.2,0.06916160881519318,2.3449206506768387,0.5234844088554382,17.748710905678283,0.02949422039091587,0.18233239650726318,6.181970159192641,0.19237607717514038,6.52250061547282
3,model.layers.3,0.04385962709784508,1.4995821130752045,0.516549289226532,17.661072970770334,0.02924789860844612,0.21570613980293274,7.375098475127484,0.1841503381729126,6.296190175643731
4,model.layers.4,0.04743505269289017,1.605948637124767,0.6283696889877319,21.273918512830402,0.02953709103167057,0.17964455485343933,6.081998683581274,0.269111305475235,9.110961403603497
5,model.layers.5,0.06478893011808395,2.2150873558997857,0.6169779896736145,21.094037844175304,0.029248926788568497,0.1316279023885727,4.500264192249039,0.22000600397586823,7.52184851240442
6,model.layers.6,0.06565164774656296,2.147776300909096,0.6211380362510681,20.320366657104977,0.030567264184355736,0.15251056849956512,4.989342932046787,0.25859734416007996,8.459943753569082
7,model.layers.7,0.08883114159107208,3.023037770625268,0.6478706002235413,22.047868122301267,0.029384726658463478,0.06620284169912338,2.252967679966074,0.2850205600261688,9.699615505678384
8,model.layers.8,0.13950790464878082,4.912843477346137,0.6883624792098999,24.24104300433794,0.028396569192409515,0.0769881084561348,2.7111763122968258,0.27447420358657837,9.66575194563272
9,model.layers.9,0.18212974071502686,6.2994369633087395,0.676643967628479,23.403514461419544,0.02891206555068493,0.08253492414951324,2.854687817103063,0.21083658933639526,7.292338960509225
10,model.layers.10,0.07078342884778976,2.4181547273975506,0.6486873626708984,22.160927185638357,0.029271669685840607,0.053771719336509705,1.8369883944656547,0.2329370379447937,7.95776368369267
11,model.layers.11,0.05428863689303398,1.819296637612749,0.5616916418075562,18.82316031122885,0.02984045259654522,0.0662766546010971,2.2210337516039065,0.23359471559524536,7.828122144305802
12,model.layers.12,0.06550183892250061,2.176922955050746,0.6906667947769165,22.953987621937028,0.030089184641838074,0.06338147073984146,2.106453511048551,0.226642444729805,7.532355558824621
13,model.layers.13,0.07556448876857758,2.623516652400266,0.5726921558380127,19.883247171054965,0.028802746906876564,0.04802597314119339,1.6674094185897916,0.2252662032842636,7.820996941423149
14,model.layers.14,0.060934580862522125,2.131771462931389,0.4153209924697876,14.529835557595224,0.028584010899066925,0.05190145596861839,1.8157512721407951,0.1228056326508522,4.296304979318211
15,model.layers.15,0.0377376452088356,1.2663069164938527,0.6555019617080688,21.99571974596525,0.029801340773701668,0.08611445128917694,2.8896165797866535,0.0806756541132927,2.70711482475884
16,model.layers.16,0.05513639748096466,1.9014397319979257,0.6372693777084351,21.976940281213516,0.028997182846069336,0.053397003561258316,1.8414548062568654,0.08266415446996689,2.8507649194068994
17,model.layers.17,0.053375884890556335,1.771452671092374,0.6495901942253113,21.558767354120913,0.030131136998534203,0.05483865737915039,1.8199995427261375,0.11627800762653351,3.859064587344498
18,model.layers.18,0.08253741264343262,2.8268406648413134,0.5867512822151184,20.095764230930918,0.029197758063673973,0.0624527707695961,2.13895767251864,0.05472823604941368,1.8743985088055313
19,model.layers.19,0.03816107288002968,1.3131830761056615,0.6084721088409424,20.938490857535506,0.02905997820198536,0.0670577734708786,2.307564399987501,0.05882176011800766,2.0241501106782964
20,model.layers.20,0.06800668686628342,2.27740076294224,0.5829224586486816,19.52084586436235,0.029861535876989365,0.06744614243507385,2.258629310102467,0.044466082006692886,1.4890754682140108
21,model.layers.21,0.14919231832027435,4.954817514250586,0.5749571323394775,19.094868297061645,0.03011055663228035,0.05786683410406113,1.921812103606622,0.03282183036208153,1.0900439228961516
22,model.layers.22,0.16683948040008545,5.747989221248702,0.608796238899231,20.97437735203913,0.029025711119174957,0.07923178374767303,2.7297102452597866,0.05039738863706589,1.7363015394813477
23,model.layers.23,0.13154657185077667,4.456062596267607,0.47478073835372925,16.08291770618178,0.029520807787775993,0.07746526598930359,2.6240902322899937,0.031219877302646637,1.0575549446183938
24,model.layers.24,0.13664564490318298,4.824406868992187,0.405714750289917,14.324152295793601,0.02832382172346115,0.10477880388498306,3.6993171757918404,0.05657792091369629,1.9975383078087035
25,model.layers.25,0.04118671268224716,1.3889007554389166,0.09165515750646591,3.0908006298709503,0.029654178768396378,0.03937889635562897,1.3279374665960784,0.028839241713285446,0.9725186108172366
26,model.layers.26,0.020509053021669388,0.7115501150516468,0.052153684198856354,1.809442881290227,0.028823060914874077,0.043409042060375214,1.506052416935415,0.033738166093826294,1.1705267883567843
27,model.layers.27,0.019557196646928787,0.6787046774685946,0.023490654304623604,0.8152097277116401,0.02881547249853611,0.03420054912567139,1.1868813860514509,0.013537140563130379,0.46978719831961446
28,model.layers.28,0.02626427263021469,0.9061792584489059,0.03343848139047623,1.1537063560336487,0.028983527794480324,0.016170933842658997,0.557935300333016,0.020101474598050117,0.6935482128690376
29,model.layers.29,0.08006409555673599,2.7559981680818884,0.5084545612335205,17.502225305467377,0.029050851240754128,0.04144854471087456,1.4267583053115485,0.0678359717130661,2.3350768215295963
30,model.layers.30,0.04039487615227699,1.3954641661335083,0.2002556025981903,6.9179446531734134,0.028947267681360245,0.08862235397100449,3.061510049411684,0.09422701597213745,3.2551263129295585
31,model.layers.31,0.18376389145851135,6.263839615530802,0.18547549843788147,6.322182043515453,0.029337259009480476,0.19908995926380157,6.786249267977469,0.17801502346992493,6.067881711257238
