method,alpha,accuracy,mean_cosine_shift,kl_divergence
none,0.0,0.7777777777777778,0.07519822981622484,
raw_addition,1.0,0.6666666666666666,0.04379216498798794,
pca_uncalibrated,1.0,0.6666666666666666,0.04861334959665934,
pca_k_calibrated,1.0,0.6666666666666666,0.051411165131462946,
