method,alpha,accuracy,mean_cosine_shift,kl_divergence
none,0.0,0.6923076923076923,0.026176865714100692,
raw_addition,1.0,0.46153846153846156,-0.016401286738423202,
pca_uncalibrated,1.0,0.38461538461538464,-0.009915887736357175,
pca_k_calibrated,1.0,0.6923076923076923,0.04448242972676571,
