layer_idx,layer_name,mean_max_alignment,random_baseline_alignment,alignment_ratio
0,model.layers.0.mlp.down_proj,0.11835525929927826,0.0365101620554924,3.2417072232569364
1,model.layers.1.mlp.down_proj,0.20667609572410583,0.024533020332455635,8.424404516808798
2,model.layers.2.mlp.down_proj,0.10543905198574066,0.02739666774868965,3.8486084915263166
3,model.layers.3.mlp.down_proj,0.13341772556304932,0.02874079905450344,4.642102005164741
4,model.layers.4.mlp.down_proj,0.11287417262792587,0.030007055029273033,3.761587691835307
5,model.layers.5.mlp.down_proj,0.13636115193367004,0.03245936334133148,4.200980354998428
6,model.layers.6.mlp.down_proj,0.15118707716464996,0.027929076924920082,5.4132498599157595
7,model.layers.7.mlp.down_proj,0.11715106666088104,0.032238975167274475,3.6338333467239616
8,model.layers.8.mlp.down_proj,0.17996928095817566,0.03350987285375595,5.37063439103349
9,model.layers.9.mlp.down_proj,0.14309731125831604,0.031233739107847214,4.581497789384629
10,model.layers.10.mlp.down_proj,0.15890684723854065,0.02941592037677765,5.402069348879529
11,model.layers.11.mlp.down_proj,0.07318374514579773,0.028981592506170273,2.525180167550714
12,model.layers.12.mlp.down_proj,0.14906004071235657,0.034685492515563965,4.297474984620611
13,model.layers.13.mlp.down_proj,0.16254296898841858,0.035717420279979706,4.550803590054443
14,model.layers.14.mlp.down_proj,0.1263747215270996,0.03015148639678955,4.191326280658235
15,model.layers.15.mlp.down_proj,0.1603967398405075,0.03254719823598862,4.928127261504917
16,model.layers.16.mlp.down_proj,0.16977879405021667,0.02566172182559967,6.616032571314675
17,model.layers.17.mlp.down_proj,0.1569806933403015,0.0314667709171772,4.988776533973232
18,model.layers.18.mlp.down_proj,0.18961940705776215,0.031313955783843994,6.0554278836966935
19,model.layers.19.mlp.down_proj,0.1693371832370758,0.03314424678683281,5.109097190141942
20,model.layers.20.mlp.down_proj,0.1535147875547409,0.029737647622823715,5.162304172123345
21,model.layers.21.mlp.down_proj,0.12139558792114258,0.02736961841583252,4.435413809624214
22,model.layers.22.mlp.down_proj,0.11532534658908844,0.030851710587739944,3.7380534386596946
23,model.layers.23.mlp.down_proj,0.0634632259607315,0.03302595764398575,1.9216164667573878
24,model.layers.24.mlp.down_proj,0.10183193534612656,0.03792139142751694,2.6853427268201826
25,model.layers.25.mlp.down_proj,0.031927596777677536,0.032475776970386505,0.9831203060567529
26,model.layers.26.mlp.down_proj,0.11745111644268036,0.034807123243808746,3.374341287719906
27,model.layers.27.mlp.down_proj,0.24184413254261017,0.028262099251151085,8.5571889701566
