method,alpha,pair_idx,cos_pos,cos_neg,correct
none,0.0,5,0.14496690034866333,0.17657577991485596,0
none,0.0,34,0.34118908643722534,0.2707784175872803,1
none,0.0,6,0.4150812327861786,0.3417770266532898,1
none,0.0,8,0.3685646057128906,0.32405024766921997,1
none,0.0,14,0.3877308964729309,0.321610689163208,1
none,0.0,15,0.1760081946849823,0.22166915237903595,0
none,0.0,17,0.19964587688446045,0.21124529838562012,0
none,0.0,1,0.1553415060043335,0.1828979253768921,0
none,0.0,7,0.29882726073265076,0.3395949900150299,0
none,0.0,40,0.3957929313182831,0.3238665461540222,1
raw_addition,1.0,5,0.33109819889068604,0.31490638852119446,1
raw_addition,1.0,34,0.3450692296028137,0.3096921443939209,1
raw_addition,1.0,6,0.42296484112739563,0.3786776065826416,1
raw_addition,1.0,8,0.44786709547042847,0.40634602308273315,1
raw_addition,1.0,14,0.391998291015625,0.3904651999473572,1
raw_addition,1.0,15,0.23204737901687622,0.2251175343990326,1
raw_addition,1.0,17,0.24188300967216492,0.23729754984378815,1
raw_addition,1.0,1,0.36189407110214233,0.35341906547546387,1
raw_addition,1.0,7,0.3849460184574127,0.3514705300331116,1
raw_addition,1.0,40,0.34238216280937195,0.2999795079231262,1
pca_uncalibrated,1.0,5,0.1876276731491089,0.20157195627689362,0
pca_uncalibrated,1.0,34,0.27936580777168274,0.20862415432929993,1
pca_uncalibrated,1.0,6,0.2514576017856598,0.19040605425834656,1
pca_uncalibrated,1.0,8,0.2977415919303894,0.24289117753505707,1
pca_uncalibrated,1.0,14,0.3046969473361969,0.2506394386291504,1
pca_uncalibrated,1.0,15,0.3338876962661743,0.33541783690452576,0
pca_uncalibrated,1.0,17,0.21481233835220337,0.20676204562187195,1
pca_uncalibrated,1.0,1,0.27712732553482056,0.29348093271255493,0
pca_uncalibrated,1.0,7,0.3223910629749298,0.3681787848472595,0
pca_uncalibrated,1.0,40,0.34985339641571045,0.284455269575119,1
pca_k_calibrated,1.0,5,0.22445636987686157,0.2475806176662445,0
pca_k_calibrated,1.0,34,0.3062513470649719,0.26449131965637207,1
pca_k_calibrated,1.0,6,0.26630985736846924,0.24951602518558502,1
pca_k_calibrated,1.0,8,0.3852866291999817,0.3755905032157898,1
pca_k_calibrated,1.0,14,0.36746135354042053,0.3735973536968231,0
pca_k_calibrated,1.0,15,0.3137750029563904,0.33897510170936584,0
pca_k_calibrated,1.0,17,0.281951904296875,0.2729795575141907,1
pca_k_calibrated,1.0,1,0.27006110548973083,0.29396432638168335,0
pca_k_calibrated,1.0,7,0.349276602268219,0.39223039150238037,0
pca_k_calibrated,1.0,40,0.37903109192848206,0.3468853831291199,1
