model,none,pca_k_calibrated,pca_uncalibrated,raw_addition,abs_gain,rel_gain_pct,vs_raw_abs
Llama 3.1 8B,0.00397914995749792,0.0471226784918043,0.0013663878043492805,0.01207276648945276,0.04575629068745502,3348.704558238186,0.03504991200235154
Gemma 2 9B,0.0032535142368740806,0.006481101777818479,0.01172750923368664,0.01575539443227976,-0.005246407455868161,-44.73590556465423,-0.00927429265446128
Qwen 2.5 7B,0.00032734258307353937,0.0018246094385782994,0.01187997625933752,0.00867325589060782,-0.01005536682075922,-84.64130399970978,-0.0068486464520295205
Mistral 7B,-0.006918831997447498,0.0169619550928473,0.028100420658787078,0.0443117961287498,-0.011138465565939778,-39.638074109957316,-0.027349841035902503
