method,alpha,pair_idx,cos_pos,cos_neg,correct
none,0.0,34,0.15954425930976868,0.21344104409217834,0
none,0.0,6,0.48625656962394714,0.35790401697158813,1
none,0.0,8,0.3256518542766571,0.3610920011997223,0
none,0.0,14,0.37311410903930664,0.4326586127281189,0
none,0.0,15,0.39958810806274414,0.4242010712623596,0
none,0.0,17,0.28266382217407227,0.23932866752147675,1
none,0.0,1,0.4075053036212921,0.536312460899353,0
none,0.0,7,0.4492163360118866,0.5044586658477783,0
none,0.0,40,0.511249303817749,0.5042515993118286,1
raw_addition,1.0,34,0.3026326596736908,0.3150694966316223,0
raw_addition,1.0,6,0.3169543743133545,0.2858901023864746,1
raw_addition,1.0,8,0.29513365030288696,0.31921568512916565,0
raw_addition,1.0,14,0.29601389169692993,0.30219030380249023,0
raw_addition,1.0,15,0.267578125,0.3023384213447571,0
raw_addition,1.0,17,0.3614511489868164,0.34915637969970703,1
raw_addition,1.0,1,0.39886653423309326,0.35232090950012207,1
raw_addition,1.0,7,0.33234262466430664,0.3474968373775482,0
raw_addition,1.0,40,0.0522504597902298,0.04176698997616768,1
pca_uncalibrated,1.0,34,0.2863242030143738,0.3019697666168213,0
pca_uncalibrated,1.0,6,0.22351637482643127,0.16987347602844238,1
pca_uncalibrated,1.0,8,0.2552250027656555,0.2014259546995163,1
pca_uncalibrated,1.0,14,0.32079410552978516,0.2814708948135376,1
pca_uncalibrated,1.0,15,0.28329920768737793,0.309537798166275,0
pca_uncalibrated,1.0,17,0.3498574197292328,0.3386833965778351,1
pca_uncalibrated,1.0,1,0.3313762843608856,0.22262442111968994,1
pca_uncalibrated,1.0,7,0.23960082232952118,0.23383918404579163,1
pca_uncalibrated,1.0,40,0.4409865736961365,0.48733705282211304,0
pca_k_calibrated,1.0,34,0.27410709857940674,0.27475762367248535,0
pca_k_calibrated,1.0,6,0.2809349298477173,0.23101721704006195,1
pca_k_calibrated,1.0,8,0.2512088418006897,0.2561214566230774,0
pca_k_calibrated,1.0,14,0.265161395072937,0.2600628733634949,1
pca_k_calibrated,1.0,15,0.1836983859539032,0.20016786456108093,0
pca_k_calibrated,1.0,17,0.31778013706207275,0.297372967004776,1
pca_k_calibrated,1.0,1,0.18980902433395386,0.189441978931427,1
pca_k_calibrated,1.0,7,0.2870851755142212,0.3048153519630432,0
pca_k_calibrated,1.0,40,0.3007291555404663,0.34465694427490234,0
