layer_idx,layer_name,raw_pc1_alignment,raw_pc1_ratio,raw_mean_dir_alignment,raw_mean_dir_ratio,random_baseline,behavioral_pc1_alignment,behavioral_pc1_ratio,contrastive_mean_alignment,contrastive_mean_ratio
0,model.layers.0,0.3085751533508301,9.698968659153572,0.19483552873134613,6.123965803255941,0.03181525319814682,0.14025287330150604,4.408353063219451,0.10663774609565735,3.351780420533896
1,model.layers.1,0.18424543738365173,5.71025339689668,0.13008162379264832,4.03157356124421,0.03226571902632713,0.06686931103467941,2.0724568049346974,0.04498695954680443,1.394264857876949
2,model.layers.2,0.14278165996074677,4.409030081413865,0.6649570465087891,20.533558873817398,0.03238391503691673,0.064051054418087,1.9778662452394777,0.13180722296237946,4.0701446610756715
3,model.layers.3,0.15063491463661194,5.041485744671843,0.44563859701156616,14.914740314549318,0.029879070818424225,0.056259430944919586,1.882904237682127,0.10250416398048401,3.4306341443068935
4,model.layers.4,0.19176781177520752,6.1773574130742075,0.4191027581691742,13.50042797094118,0.03104366362094879,0.05573796480894089,1.7954698805542424,0.11527164280414581,3.7132099000437777
5,model.layers.5,0.3168674409389496,10.120041542588652,0.5105307102203369,16.305215773786422,0.03131088241934776,0.09205816686153412,2.9401331680296545,0.09229026734828949,2.9475459415259126
6,model.layers.6,0.2176549732685089,7.030922683985803,0.2530174255371094,8.173238267604221,0.0309568140655756,0.18301019072532654,5.911790031941508,0.10144807398319244,3.27708369767031
7,model.layers.7,0.2832907736301422,8.827425339543915,0.23418842256069183,7.297381376207691,0.03209211677312851,0.17342597246170044,5.404005235419961,0.10954184830188751,3.4133567960918274
8,model.layers.8,0.3012418746948242,9.739927801561254,0.3956637978553772,12.792832433097038,0.03092855215072632,0.3656954765319824,11.823879207986634,0.24096643924713135,7.791067305114871
9,model.layers.9,0.1669166386127472,5.269472128378023,0.2571057677268982,8.116696384147403,0.03167615830898285,0.13920342922210693,4.394580411856658,0.14127007126808167,4.45982323456808
