layer_idx,layer_name,behavioral_pc1_alignment_mean,behavioral_pc1_ratio_mean,contrastive_mean_alignment_mean,contrastive_mean_ratio_mean,raw_pc1_alignment,raw_pc1_ratio,raw_mean_dir_alignment,raw_mean_dir_ratio,random_baseline
0,model.layers.0,0.09707585945725442,3.2935037376789653,0.11255316957831382,3.7904164249007195,0.07021811604499817,2.3838226360429027,0.3527528941631317,11.975546787624463,0.02947511337697506
1,model.layers.1,0.09605968818068504,3.27112098787797,0.11373368874192238,3.874006577706357,0.0387943834066391,1.3198681511794692,0.44401639699935913,15.106390398271433,0.029396142065525054
2,model.layers.2,0.11236437857151031,3.8419511312389014,0.15221708714962007,5.23416071759697,0.06916160881519318,2.3704488084603694,0.5234844088554382,17.94193360271225,0.02919953428208828
3,model.layers.3,0.151172037422657,5.141432122266442,0.11722787991166114,3.972920306651674,0.04385962709784508,1.4912394166948768,0.516549289226532,17.56281828484067,0.029424379393458367
4,model.layers.4,0.17719991356134415,6.024458888061398,0.19718988984823227,6.686188214350755,0.04743505269289017,1.6121403146211375,0.6283696889877319,21.355939344300666,0.029432447254657747
5,model.layers.5,0.12878137975931167,4.403615565613863,0.18050943464040756,6.172103981967918,0.06478893011808395,2.2158447119194613,0.6169779896736145,21.101250063818917,0.029242097958922388
6,model.layers.6,0.17133146300911903,5.721176136299869,0.19619860127568245,6.601675802252958,0.06565164774656296,2.200939330952539,0.6211380362510681,20.823348398093646,0.02983793094754219
7,model.layers.7,0.18194207474589347,6.201899652736228,0.21877192705869675,7.468237334914795,0.08883114159107208,3.037507944912202,0.6478706002235413,22.153403189538963,0.029247902706265448
8,model.layers.8,0.1596515253186226,5.405073121813188,0.23780730813741685,8.130612585583552,0.13950790464878082,4.744178538084677,0.6883624792098999,23.408813346541127,0.02942325547337532
9,model.layers.9,0.1592157557606697,5.508905265655361,0.2152087278664112,7.466982166827331,0.18212974071502686,6.313265668510044,0.676643967628479,23.45489052947872,0.028852915018796922
10,model.layers.10,0.14744053781032562,5.031365017901926,0.18914674073457718,6.406760997476138,0.07078342884778976,2.4066017186807556,0.6486873626708984,22.055050840321332,0.02941432148218155
11,model.layers.11,0.16024246513843537,5.440267749631862,0.1799100384116173,6.011926660922057,0.05428863689303398,1.824074662065777,0.5616916418075562,18.872595636063142,0.02977013513445854
12,model.layers.12,0.15005489438772202,5.067522529987169,0.19405800104141235,6.528426888598437,0.06550183892250061,2.202679514670973,0.6906667947769165,23.225570844179536,0.029743071645498276
13,model.layers.13,0.16609195843338967,5.583933731819944,0.20438108444213868,6.8924709671709365,0.07556448876857758,2.5496183943944444,0.5726921558380127,19.32318313330783,0.02964441254734993
14,model.layers.14,0.10658532306551934,3.6666863404360135,0.13840792775154115,4.783952283285475,0.060934580862522125,2.107054353304485,0.4153209924697876,14.36136743397933,0.028922465071082114
15,model.layers.15,0.174590402841568,5.883732434227669,0.15569475889205933,5.3305870792996455,0.0377376452088356,1.2772422102189116,0.6555019617080688,22.185665526868185,0.02956208772957325
16,model.layers.16,0.13860711976885795,4.643105293015257,0.14895889908075333,5.038257043570577,0.05513639748096466,1.869269267516124,0.6372693777084351,21.60511236322183,0.029505227506160737
17,model.layers.17,0.15303079783916473,5.2548356470931825,0.11464540176093578,3.9173184740149596,0.053375884890556335,1.8244554391329786,0.6495901942253113,22.203816676611247,0.02926223911345005
18,model.layers.18,0.08908875435590743,3.0392813436331982,0.08142940923571587,2.781654710891741,0.08253741264343262,2.82343927688757,0.5867512822151184,20.071584060033242,0.029234732687473296
19,model.layers.19,0.10573308020830155,3.6339613241498663,0.07983560711145402,2.7314010789214107,0.03816107288002968,1.3101519490876492,0.6084721088409424,20.890160029557663,0.029137174412608147
20,model.layers.20,0.09653996229171753,3.3010492249388887,0.07544592097401619,2.574915950081796,0.06800668686628342,2.3227241056432253,0.5829224586486816,19.90933699043915,0.029287680611014368
21,model.layers.21,0.062337737530469894,2.1528820853830526,0.04821759536862373,1.666736799451693,0.14919231832027435,5.1407076424413525,0.5749571323394775,19.81125139398049,0.029033020511269568
22,model.layers.22,0.0820128545165062,2.8067407827009587,0.036416029930114745,1.2526345662884322,0.16683948040008545,5.718325599902399,0.608796238899231,20.866134980003125,0.029194995015859603
23,model.layers.23,0.06812616065144539,2.296241153885506,0.03231519367545843,1.093179730134633,0.13154657185077667,4.447695127221534,0.47478073835372925,16.05271765553848,0.02957952208817005
24,model.layers.24,0.07600091658532619,2.6112809729058184,0.041837464831769464,1.4416701739209974,0.13664564490318298,4.680322567473306,0.405714750289917,13.896351421108946,0.02920412868261337
25,model.layers.25,0.032016364857554436,1.0957165024586746,0.02577744796872139,0.8823881880740674,0.04118671268224716,1.4111987032409423,0.09165515750646591,3.140421533914272,0.029188385978341103
26,model.layers.26,0.02716454453766346,0.9322410917727556,0.027784904465079308,0.9520472964897457,0.020509053021669388,0.7034909434121049,0.052153684198856354,1.7889487369653305,0.02915833182632923
27,model.layers.27,0.025173798203468323,0.8609432228452242,0.02036750316619873,0.6933501177035841,0.019557196646928787,0.6668978811490631,0.023490654304623604,0.8010282795320119,0.02933017835021019
28,model.layers.28,0.017679162696003912,0.6053334568826755,0.017744296230375767,0.6080569568514763,0.02626427263021469,0.9001794558207589,0.03343848139047623,1.1460676792900553,0.02917848080396652
